index,labels,x,y,width,height
0,9,227.40719699999997,28.369249999999997,37.686544,37.690198
1,10,606.8369,27.113086,52.770444,45.232459999999996
2,11,998.8326519999999,25.856921999999997,52.770444,42.714853999999995
3,12,1385.792702,28.369249999999997,57.794543000000004,37.690198
4,13,1750.150108,29.625414,62.818642000000004,45.232459999999996
5,14,2142.72601,417.848704,55.276692,47.744788
6,15,2485.7222930000003,419.104868,57.794543000000004,50.257115999999996
7,16,2689.146089,1002.070524,50.252593,45.232459999999996
8,17,3223.1045459999996,1002.070524,57.794543000000004,45.232459999999996
9,18,3617.618149,1000.8143600000001,62.818642000000004,42.714853999999995
10,19,3986.9880510000003,417.848704,77.890939,47.744788
11,20,4373.449172,417.848704,87.95074,37.690198
12,21,4855.901912,420.361032,62.818642000000004,42.714853999999995
13,22,5151.662382,416.59254,65.33649299999999,45.232459999999996
14,23,5546.361633,416.59254,67.842741,50.257115999999996
15,24,6039.8488259999995,27.113086,72.86684,45.232459999999996
16,25,6419.278529,24.600758000000003,57.794543000000004,45.232459999999996
17,26,6804.997057999999,27.113086,60.312394000000005,50.257115999999996
18,27,7176.884811,27.376986,55.276692,54.753972
19,28,7570.1336870000005,28.369249999999997,62.818642000000004,47.744788
20,29,7957.105339999999,27.113086,67.842741,45.232459999999996
21,30,8350.354216,29.625414,75.384691,55.281772000000004
22,31,8738.578993,25.856921999999997,62.818642000000004,47.744788
23,32,9127.662392,25.856921999999997,72.86684,42.714853999999995
24,33,9518.40502,27.113086,75.384691,50.257115999999996
25,34,9905.36507,27.113086,80.40879000000001,50.257115999999996
26,35,10297.360822,27.113086,80.40879000000001,45.232459999999996
27,36,10685.585599,28.369249999999997,72.86684,52.769444
28,37,11075.0635,27.113086,72.86684,45.232459999999996
29,38,11404.24061,27.113086,72.86684,50.257115999999996
30,38,11406.746858,1939.063308,67.842741,50.257115999999996
31,37,11077.302879,1937.8071439999999,70.360592,52.769444
32,36,10686.571854,1937.8071439999999,72.86684,62.81875599999999
33,35,10297.082349999999,1937.8071439999999,72.86684,52.769444
34,34,9906.351325,1937.8071439999999,80.40879000000001,57.7941
35,33,9516.873424000001,1941.575636,75.384691,55.281772000000004
36,32,9128.648647,1942.8318,77.890939,47.744788
37,31,8737.163427000001,1939.063308,72.86684,50.257115999999996
38,30,8347.685526000001,1937.8071439999999,72.86684,52.769444
39,29,7958.196022,1940.3194720000001,77.890939,52.769444
40,28,7569.228653,1937.6857499999999,72.86684,45.232459999999996
41,27,7154.108122,1941.45952,72.86684,42.714853999999995
42,26,6836.243937,1938.947192,70.360592,42.714853999999995
43,25,6529.565044,1938.7466279999999,70.360592,45.232459999999996
44,24,5878.7643769999995,2482.528412,60.312394000000005,57.7941
45,25,6206.676759999999,2483.784576,57.794543000000004,55.281772000000004
46,23,5506.354489,3148.416726,60.312394000000005,62.81875599999999
47,22,5138.237711,2130.739156,72.86684,57.7941
48,22,5160.851958,3147.0391680000002,62.818642000000004,47.744788
49,21,4614.3274519999995,3038.99323,65.33649299999999,42.714853999999995
50,21,4600.496676,2097.9574979999998,47.746345,50.257115999999996
51,20,4229.8620470000005,2091.6766780000003,60.312394000000005,42.714853999999995
52,19,3843.923061,2092.9328419999997,60.312394000000005,40.202526
53,20,4385.423468,3044.017886,57.794543000000004,52.769444
54,19,4000.737606,3086.73274,60.312394000000005,52.769444
55,18,3480.586719,3032.7071320000005,50.252593,45.232459999999996
56,18,3591.151706,2092.9328419999997,55.276692,55.281772000000004
57,17,3206.4194319999997,3031.450968,62.818642000000004,47.744788
58,17,3205.166308,2099.213662,50.252593,52.769444
59,16,2941.3256909999996,3033.963296,55.276692,42.714853999999995
60,16,2686.280148,2096.7013340000003,52.770444,57.7941
61,14,2261.3782880000003,2079.10976,50.252593,57.7941
62,14,2287.76351,3585.403458,47.746345,62.81875599999999
63,13,1733.8130840000001,1745.2657040000001,75.384691,45.232459999999996
64,12,1340.564208,1741.4972120000002,57.794543000000004,42.714853999999995
65,11,841.786047,1745.2657040000001,55.276692,45.232459999999996
66,10,636.993097,1744.00954,57.794543000000004,42.714853999999995
67,9,238.70851900000002,1745.2657040000001,40.204395000000005,40.202526
68,13,1748.896984,3533.731838,70.360592,47.744788
69,12,1410.9248,3537.5003300000003,67.842741,45.232459999999996
70,11,1020.182172,3537.5003300000003,65.33649299999999,60.306428000000004
71,10,626.9332959999999,3534.988002,72.86684,50.257115999999996
72,9,238.70851900000002,3537.5003300000003,65.33649299999999,45.232459999999996
73,25,6529.100923999999,3343.7449500000002,72.86684,55.281772000000004
74,26,6838.170035,3342.4887860000003,87.95074,52.769444
75,27,7170.131865,3341.232622,75.384691,45.232459999999996
76,28,7562.870209000001,3341.232622,72.86684,45.232459999999996
77,29,7956.119085,3343.7449500000002,70.360592,45.232459999999996
78,30,8345.875458,3341.232622,82.926641,50.257115999999996
79,31,8735.597022,3345.0011139999997,80.40879000000001,47.744788
80,32,9125.074923,3342.4887860000003,75.384691,47.744788
81,33,9514.552824,3338.720294,70.360592,50.257115999999996
82,34,9905.283849,3341.232622,92.97483899999999,55.281772000000004
83,35,10293.589847,3339.976458,87.95074,52.769444
84,36,10683.067748,3342.4887860000003,77.890939,52.769444
85,37,11075.0635,3342.4887860000003,77.890939,42.714853999999995
86,38,11402.987486,3343.7449500000002,70.360592,40.202526
87,38,11404.24061,5249.514634,72.86684,56.97601
88,37,11071.292525,5249.92104,80.40879000000001,47.744788
89,36,10686.571854,5252.026962,77.890939,51.951353999999995
90,35,10296.85029,5251.177204,70.360592,45.232459999999996
91,34,9904.587669,5249.514634,82.926641,56.97601
92,33,9517.383956,5251.177204,75.384691,50.257115999999996
93,32,9126.362856,5251.177204,85.432889,50.257115999999996
94,31,8736.652895,5249.92104,87.95074,42.714853999999995
95,30,8349.681242,5252.026962,97.99893800000001,51.951353999999995
96,29,7958.706554,5249.92104,87.95074,47.744788
97,28,7567.697057,5251.177204,72.86684,50.257115999999996
98,27,7186.78217,5251.177204,67.842741,50.257115999999996
99,26,6773.425295,5249.92104,85.432889,47.744788
100,25,6387.439896999999,5249.92104,70.360592,42.714853999999995
101,24,5982.646035999999,5248.664876,67.842741,50.257115999999996
102,23,5560.50569,4861.69775,67.842741,50.257115999999996
103,22,5251.424976,4862.953914000001,67.842741,42.714853999999995
104,21,4778.521505,4859.1854220000005,72.86684,50.257115999999996
105,20,4366.185694000001,4859.1854220000005,65.33649299999999,65.331084
106,19,3972.658346,4859.1854220000005,70.360592,45.232459999999996
107,18,3508.8168180000002,4276.335882,65.33649299999999,47.744788
108,17,3227.3860529999997,4275.079718,70.360592,50.257115999999996
109,16,2839.161276,4275.079718,72.86684,55.281772000000004
110,15,2482.11376,4276.335882,65.33649299999999,47.744788
111,14,2138.839005,4864.326194,80.40879000000001,62.81875599999999
112,13,1797.896453,5250.770798,62.818642000000004,54.463682
113,12,1405.900701,5252.026962,67.842741,51.951353999999995
114,11,1016.4227999999999,5249.92104,82.926641,47.744788
115,10,630.7042710000001,5248.664876,80.40879000000001,45.232459999999996
116,9,238.70851900000002,5252.433368,75.384691,47.744788
